"DateTime","Consumed Water (kl)"
"2023-08-01 00:00:00",0,105
"2023-08-02 00:00:00",0,078
"2023-08-03 00:00:00",0,114
"2023-08-04 00:00:00",0,03
"2023-08-05 00:00:00",0,004
"2023-08-06 00:00:00",0,05
"2023-08-07 00:00:00",0,178
"2023-08-08 00:00:00",0,136
"2023-08-09 00:00:00",0,001
"2023-08-10 00:00:00",0,124
"2023-08-11 00:00:00",0,06
"2023-08-12 00:00:00",0,002
"2023-08-13 00:00:00",0,014
"2023-08-14 00:00:00",0,116
"2023-08-15 00:00:00",0,139
"2023-08-16 00:00:00",0,106
"2023-08-17 00:00:00",0,125
"2023-08-18 00:00:00",0,084
"2023-08-19 00:00:00",0,101
"2023-08-20 00:00:00",0,021
"2023-08-21 00:00:00",0,138
"2023-08-22 00:00:00",0,159
"2023-08-23 00:00:00",0,084
"2023-08-24 00:00:00",0,188
"2023-08-25 00:00:00",0,12
"2023-08-26 00:00:00",0,142
"2023-08-27 00:00:00",0
"2023-08-28 00:00:00",0,116
"2023-08-29 00:00:00",0,12
"2023-08-30 00:00:00",0,159
"2023-08-31 00:00:00",0,138
