"DateTime","Consumed Water (kl)"
"2023-08-01 00:00:00",0,387
"2023-08-02 00:00:00",0,214
"2023-08-03 00:00:00",0,321
"2023-08-04 00:00:00",0,076
"2023-08-05 00:00:00",0,068
"2023-08-06 00:00:00",0,079
"2023-08-07 00:00:00",0,415
"2023-08-08 00:00:00",0,561
"2023-08-09 00:00:00",0,003
"2023-08-10 00:00:00",0,264
"2023-08-11 00:00:00",0,228
"2023-08-12 00:00:00",0,118
"2023-08-13 00:00:00",0,118
"2023-08-14 00:00:00",0,118
"2023-08-15 00:00:00",0,325
"2023-08-16 00:00:00",0,242
"2023-08-17 00:00:00",0,252
"2023-08-18 00:00:00",0,303
"2023-08-19 00:00:00",0,055
"2023-08-20 00:00:00",0,043
"2023-08-21 00:00:00",0,346
"2023-08-22 00:00:00",0,278
"2023-08-23 00:00:00",0,309
"2023-08-24 00:00:00",2,647
"2023-08-25 00:00:00",3,272
"2023-08-26 00:00:00",1,788
"2023-08-27 00:00:00",0,101
"2023-08-28 00:00:00",0,296
"2023-08-29 00:00:00",2,693
"2023-08-30 00:00:00",0,553
"2023-08-31 00:00:00",0,734
