"DateTime","Cost (R)"
"2023-08-01 00:00:00",0,989605
"2023-08-02 00:00:00",-152,052282
"2023-08-03 00:00:00",-118,316508
"2023-08-04 00:00:00",-196,959851
"2023-08-05 00:00:00",-185,283041
"2023-08-06 00:00:00",-160,001371
"2023-08-07 00:00:00",-141,181834
"2023-08-08 00:00:00",-184,242006
"2023-08-09 00:00:00",-208,542552
"2023-08-10 00:00:00",-203,414662
"2023-08-11 00:00:00",-191,544056
"2023-08-12 00:00:00",-142,941052
"2023-08-13 00:00:00",-185,204669
"2023-08-14 00:00:00",-124,875715
"2023-08-15 00:00:00",-221,064107
"2023-08-16 00:00:00",-154,85608
"2023-08-17 00:00:00",-141,73035
"2023-08-18 00:00:00",-206,877496
"2023-08-19 00:00:00",-151,624912
"2023-08-20 00:00:00",-218,954939
"2023-08-21 00:00:00",-143,901129
"2023-08-22 00:00:00",-7,703826
"2023-08-23 00:00:00",-125,561565
"2023-08-24 00:00:00",-179,744414
"2023-08-25 00:00:00",-184,835029
"2023-08-26 00:00:00",-131,072839
"2023-08-27 00:00:00",-235,851044
"2023-08-28 00:00:00",-233,268159
"2023-08-29 00:00:00",-198,382574
"2023-08-30 00:00:00",-170,035035
"2023-08-31 00:00:00",-39,1557
