"Meter Serial","Meter Name","Timestamp","Date","Day","Time","TOU","Week ","Cumulative ImpWh","ImpkWh","Ptot","Stot","Cumulative ExpWh","ExpkWh","PFtot","MD","Qtot","Epoch"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 00:00:00","2023-08-01","Tuesday","00-00-00","Off-Peak","31","31987000.000","0.0000","0.0000","0.000000","80143416.0000","0.0000","","0.000","0.0000","1690840800"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 01:00:00","2023-08-01","Tuesday","01-00-00","Off-Peak","31","31987012.000","0.0120","0.0120","0.056247","80143416.0000","0.0000","0.2132","0.057","-0.0550","1690844403"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 02:00:00","2023-08-01","Tuesday","02-00-00","Off-Peak","31","31987030.000","0.0180","0.0180","0.060729","80143416.0000","0.0000","0.2964","0.062","-0.0580","1690848003"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 03:00:00","2023-08-01","Tuesday","03-00-00","Off-Peak","31","31987048.000","0.0180","0.0180","0.067446","80143416.0000","0.0000","0.2669","0.068","-0.0650","1690851603"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 04:00:00","2023-08-01","Tuesday","04-00-00","Off-Peak","31","31987060.000","0.0120","0.0120","0.060208","80143416.0000","0.0000","0.1993","0.068","-0.0590","1690855203"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 05:00:00","2023-08-01","Tuesday","05-00-00","Off-Peak","31","31987072.000","0.0120","0.0120","0.055317","80143416.0000","0.0000","0.2169","0.059","-0.0540","1690858803"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 06:00:00","2023-08-01","Tuesday","06-00-00","Off-Peak","31","31987088.000","0.0160","0.0160","0.066940","80143416.0000","0.0000","0.2390","0.070","-0.0650","1690862403"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 07:00:00","2023-08-01","Tuesday","07-00-00","Standard","31","31987106.000","0.0180","0.0180","0.071309","80143416.0000","0.0000","0.2524","0.087","-0.0690","1690866003"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 08:00:00","2023-08-01","Tuesday","08-00-00","Peak","31","31987124.000","0.0180","0.0180","0.074216","80143416.0000","0.0000","0.2425","0.087","-0.0720","1690869603"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 09:00:00","2023-08-01","Tuesday","09-00-00","Peak","31","31987144.000","0.0200","0.0200","0.070880","80143416.0000","0.0000","0.2822","0.077","-0.0680","1690873203"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 10:00:00","2023-08-01","Tuesday","10-00-00","Peak","31","31987160.000","0.0160","0.0160","0.064014","80143416.0000","0.0000","0.2499","0.070","-0.0620","1690876804"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 11:00:00","2023-08-01","Tuesday","11-00-00","Standard","31","31987178.000","0.0180","0.0180","0.060746","80143416.0000","0.0000","0.2964","0.065","-0.0580","1690880403"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 12:00:00","2023-08-01","Tuesday","12-00-00","Standard","31","31987194.000","0.0160","0.0160","0.060166","80143416.0000","0.0000","0.2659","0.062","-0.0580","1690884003"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 13:00:00","2023-08-01","Tuesday","13-00-00","Standard","31","31987196.000","0.0020","0.0020","0.004476","80143416.0000","0.0000","0.4473","0.057","-0.0040","1690887600"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 14:00:00","2023-08-01","Tuesday","14-00-00","Standard","31","31987196.000","0.0000","0.0000","0.000000","80143416.0000","0.0000","","0.000","0.0000","1690891200"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 15:00:00","2023-08-01","Tuesday","15-00-00","Standard","31","31987210.000","0.0140","0.0140","0.053807","80143416.0000","0.0000","0.2600","0.056","-0.0520","1690894803"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 16:00:00","2023-08-01","Tuesday","16-00-00","Standard","31","31987228.000","0.0180","0.0180","0.060729","80143416.0000","0.0000","0.2964","0.059","-0.0580","1690898403"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 17:00:00","2023-08-01","Tuesday","17-00-00","Standard","31","31987244.000","0.0160","0.0160","0.059203","80143416.0000","0.0000","0.2703","0.065","-0.0570","1690902003"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 18:00:00","2023-08-01","Tuesday","18-00-00","Standard","31","31987260.000","0.0160","0.0160","0.059203","80143416.0000","0.0000","0.2703","0.065","-0.0570","1690905603"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 19:00:00","2023-08-01","Tuesday","19-00-00","Peak","31","31987272.000","0.0120","0.0120","0.057271","80143416.0000","0.0000","0.2095","0.064","-0.0560","1690909203"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 20:00:00","2023-08-01","Tuesday","20-00-00","Peak","31","31987286.000","0.0140","0.0140","0.064519","80143416.0000","0.0000","0.2169","0.070","-0.0630","1690912804"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 21:00:00","2023-08-01","Tuesday","21-00-00","Standard","31","31987308.000","0.0220","0.0220","0.077223","80143416.0000","0.0000","0.2850","0.085","-0.0740","1690916403"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 22:00:00","2023-08-01","Tuesday","22-00-00","Standard","31","31987330.000","0.0220","0.0220","0.075286","80143416.0000","0.0000","0.2922","0.085","-0.0720","1690920003"
"1421236137","UCT - School Of Design Solar PV","2023-08-01 23:00:00","2023-08-01","Tuesday","23-00-00","Off-Peak","31","31987344.000","0.0140","0.0140","0.056754","80143416.0000","0.0000","0.2467","0.075","-0.0550","1690923603"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 00:00:00","2023-08-02","Wednesday","00-00-00","Off-Peak","31","31987358.000","0.0140","0.0140","0.056754","80143416.0000","0.0000","0.2467","0.061","-0.0550","1690927203"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 01:00:00","2023-08-02","Wednesday","01-00-00","Off-Peak","31","31987376.000","0.0180","0.0180","0.063600","80143416.0000","0.0000","0.2830","0.068","-0.0610","1690930803"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 02:00:00","2023-08-02","Wednesday","02-00-00","Off-Peak","31","31987392.000","0.0160","0.0160","0.065000","80143416.0000","0.0000","0.2462","0.068","-0.0630","1690934403"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 03:00:00","2023-08-02","Wednesday","03-00-00","Off-Peak","31","31987408.000","0.0160","0.0160","0.064014","80143416.0000","0.0000","0.2499","0.076","-0.0620","1690938004"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 04:00:00","2023-08-02","Wednesday","04-00-00","Off-Peak","31","31987424.000","0.0160","0.0160","0.064049","80143416.0000","0.0000","0.2499","0.068","-0.0620","1690941603"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 05:00:00","2023-08-02","Wednesday","05-00-00","Off-Peak","31","31987424.000","0.0000","0.0000","0.000000","80143416.0000","0.0000","","0.057","0.0000","1690945200"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 06:00:00","2023-08-02","Wednesday","06-00-00","Off-Peak","31","31987424.000","0.0000","0.0000","0.000000","80143416.0000","0.0000","","0.000","0.0000","1690948800"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 07:00:00","2023-08-02","Wednesday","07-00-00","Standard","31","31987440.000","0.0160","0.0160","0.063960","80143416.0000","0.0000","0.2499","0.072","-0.0619","1690952404"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 08:00:00","2023-08-02","Wednesday","08-00-00","Peak","31","31987456.000","0.0160","0.0160","0.065988","80143416.0000","0.0000","0.2425","0.072","-0.0640","1690956003"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 09:00:00","2023-08-02","Wednesday","09-00-00","Peak","31","31987468.000","0.0120","0.0120","0.058249","80143416.0000","0.0000","0.2060","0.062","-0.0570","1690959603"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 10:00:00","2023-08-02","Wednesday","10-00-00","Peak","31","31987482.000","0.0140","0.0140","0.058694","80143416.0000","0.0000","0.2385","0.062","-0.0570","1690963203"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 11:00:00","2023-08-02","Wednesday","11-00-00","Standard","31","31987496.000","0.0140","0.0140","0.056738","80143416.0000","0.0000","0.2467","0.063","-0.0550","1690966804"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 12:00:00","2023-08-02","Wednesday","12-00-00","Standard","31","31987502.000","0.0060","-21.8001","21.849522","80165216.0000","21.8000","-0.9977","28.928","1.4694","1690970403"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 13:00:00","2023-08-02","Wednesday","13-00-00","Standard","31","31987502.000","0.0000","-33.6880","33.752584","80198904.0000","33.6880","-0.9981","35.307","2.0870","1690974003"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 14:00:00","2023-08-02","Wednesday","14-00-00","Standard","31","31987502.000","0.0000","-34.6000","34.655188","80233504.0000","34.6000","-0.9984","35.364","1.9550","1690977603"
"1421236137","UCT - School Of Design Solar PV","2023-08-02 15:00:00","2023-08-02","Wednesday","15-00-00","Standard","31","31987502.000","0.0000","-29.6480","29.679636","80263152.0000","29.6480","-0.9989","34.162","1.3700","1690981203"
