"DateTime,""Produced Energy (kWh)"""
00:00,0
00:00,1
2023-08-03 00:00:00,116,248
2023-08-04 00:00:00,192,776
2023-08-05 00:00:00,181,05
2023-08-06 00:00:00,156,348
2023-08-07 00:00:00,138,361
2023-08-08 00:00:00,180,076
2023-08-09 00:00:00,204,01
2023-08-10 00:00:00,199,2
2023-08-11 00:00:00,187,472
2023-08-12 00:00:00,139,75
2023-08-13 00:00:00,181,032
2023-08-14 00:00:00,122,488
2023-08-15 00:00:00,216,153
2023-08-16 00:00:00,151,656
2023-08-17 00:00:00,138,878
2023-08-18 00:00:00,202,456
2023-08-19 00:00:00,148,385
2023-08-20 00:00:00,213,856
2023-08-21 00:00:00,141,088
2023-08-22 00:00:00,8,176
2023-08-23 00:00:00,123,128
2023-08-24 00:00:00,175,642
2023-08-25 00:00:00,180,936
2023-08-26 00:00:00,128,109
2023-08-27 00:00:00,230,424
2023-08-28 00:00:00,228,131
2023-08-29 00:00:00,194,04
2023-08-30 00:00:00,166,394
2023-08-31 00:00:00,38,595
